,Mito,ConA,WGA,DAPI,Phalloidin,Sum
CLSTN1,24.0,11.0,17.0,20.0,32.0,104.0
CNGA3,15.0,11.0,21.0,21.0,32.0,98.0
CNIH1,17.0,17.0,39.0,19.0,23.0,116.0
CNKSR3,19.0,14.0,12.0,12.0,40.0,106.0
CNN1,17.0,27.0,21.0,19.0,37.0,120.0
CNNM4,18.0,25.0,25.0,24.0,13.0,117.0
CNOT7,26.0,12.0,25.0,24.0,36.0,129.0
CNRIP1,26.0,17.0,29.0,44.0,32.0,160.0
CNTD1,27.0,19.0,21.0,57.0,18.0,155.0
CNTROB,18.0,12.0,16.0,21.0,41.0,117.0
COA1,25.0,29.0,21.0,31.0,15.0,126.0
COG8,33.0,13.0,39.0,42.0,31.0,150.0
COL10A1,18.0,13.0,16.0,28.0,32.0,112.0
COL11A2,30.0,17.0,47.0,13.0,18.0,130.0
COL4A3,32.0,52.0,24.0,12.0,10.0,134.0
COL4A5,19.0,9.0,16.0,17.0,33.0,97.0
COLCA2,33.0,28.0,29.0,34.0,20.0,156.0
COLEC12,35.0,27.0,20.0,51.0,18.0,157.0
COLQ,17.0,14.0,15.0,81.0,14.0,153.0
COMMD3,14.0,8.0,70.0,21.0,19.0,128.0
COMMD4,26.0,19.0,45.0,55.0,15.0,165.0
COMMD5,11.0,10.0,40.0,17.0,17.0,105.0
COMMD8,17.0,20.0,38.0,54.0,21.0,150.0
COPA,21.0,24.0,28.0,15.0,21.0,120.0
COPE,26.0,13.0,47.0,20.0,21.0,138.0
COPG1,19.0,27.0,50.0,30.0,21.0,146.0
COPG2,19.0,27.0,21.0,43.0,27.0,135.0
CORO7,41.0,25.0,17.0,16.0,15.0,126.0
COX10,37.0,27.0,30.0,36.0,13.0,158.0
COX17,25.0,25.0,28.0,22.0,23.0,126.0
COX18,26.0,20.0,21.0,21.0,34.0,121.0
COX6A1,33.0,27.0,12.0,34.0,19.0,138.0
COX6B1,19.0,12.0,49.0,46.0,22.0,155.0
CPEB2,23.0,15.0,25.0,54.0,16.0,137.0
CPLX2,17.0,10.0,16.0,40.0,35.0,129.0
CPO,35.0,24.0,31.0,23.0,12.0,136.0
CPSF2,45.0,18.0,28.0,42.0,23.0,152.0
CPSF3,21.0,23.0,31.0,54.0,27.0,161.0
CPSF7,24.0,16.0,22.0,25.0,35.0,133.0
CREBL2,35.0,39.0,12.0,20.0,15.0,117.0
CRELD1,20.0,9.0,11.0,20.0,39.0,103.0
CRIP3,15.0,9.0,20.0,16.0,32.0,101.0
CRIPAK,27.0,21.0,44.0,32.0,27.0,150.0
CRLS1,23.0,12.0,30.0,13.0,37.0,124.0
CRNKL1,28.0,21.0,25.0,24.0,41.0,140.0
CRYGS,43.0,50.0,19.0,14.0,19.0,148.0
CRYL1,22.0,19.0,23.0,59.0,22.0,154.0
CSDC2,49.0,18.0,19.0,25.0,10.0,127.0
CSDE1,14.0,10.0,15.0,40.0,34.0,120.0
CSNK2A1,24.0,11.0,22.0,20.0,36.0,120.0
CSNK2A2,22.0,8.0,17.0,63.0,12.0,124.0
CSPG5,20.0,12.0,16.0,12.0,32.0,96.0
CSRNP3,15.0,14.0,20.0,22.0,34.0,115.0
CST2,18.0,18.0,18.0,53.0,23.0,136.0
CSTF2,48.0,17.0,36.0,34.0,12.0,147.0
CT62,25.0,24.0,19.0,23.0,20.0,118.0
CTAGE15,28.0,14.0,39.0,26.0,30.0,144.0
CTCF,38.0,11.0,20.0,43.0,20.0,140.0
CTDNEP1,14.0,13.0,38.0,50.0,26.0,141.0
CTNNBL1,19.0,13.0,31.0,53.0,19.0,139.0
CTRB2,13.0,10.0,36.0,36.0,35.0,129.0
CTRC,25.0,10.0,16.0,34.0,34.0,126.0
CTSA,15.0,11.0,71.0,30.0,19.0,143.0
CTSL,14.0,13.0,57.0,16.0,23.0,122.0
CTSW,19.0,12.0,39.0,33.0,23.0,130.0
CTU2,42.0,17.0,23.0,43.0,16.0,145.0
CUL3,20.0,11.0,67.0,22.0,47.0,163.0
CUL5,32.0,16.0,34.0,32.0,39.0,154.0
CWC15,30.0,22.0,34.0,57.0,14.0,161.0
CX3CL1,26.0,22.0,36.0,57.0,20.0,163.0
CXCL12,20.0,16.0,27.0,30.0,46.0,148.0
CXCR2,47.0,22.0,22.0,38.0,13.0,143.0
CXXC1,14.0,34.0,12.0,26.0,15.0,105.0
CXorf23,49.0,70.0,14.0,18.0,12.0,155.0
CYB561D2,16.0,8.0,20.0,19.0,32.0,93.0
CYB5R1,53.0,19.0,30.0,22.0,23.0,161.0
CYB5R4,23.0,11.0,35.0,57.0,43.0,166.0
CYC1,38.0,17.0,27.0,32.0,30.0,146.0
CYCS,49.0,13.0,22.0,23.0,21.0,131.0
CYLD,41.0,26.0,33.0,33.0,29.0,164.0
CYP1A1,21.0,14.0,20.0,54.0,18.0,136.0
CYP27A1,17.0,11.0,37.0,14.0,15.0,94.0
CYP2C18,22.0,15.0,53.0,27.0,25.0,147.0
CYP2C9,19.0,26.0,17.0,15.0,11.0,93.0
CYP2F1,17.0,11.0,44.0,35.0,19.0,139.0
CYP4B1,34.0,13.0,28.0,31.0,38.0,150.0
CYP4F2,37.0,21.0,24.0,42.0,16.0,141.0
CYYR1,23.0,28.0,20.0,20.0,14.0,117.0
DAAM2,27.0,25.0,37.0,29.0,15.0,137.0
DACT3,15.0,9.0,13.0,9.0,34.0,87.0
DAG1,18.0,16.0,17.0,13.0,42.0,115.0
DAGLB,24.0,19.0,28.0,26.0,47.0,154.0
DAPK3,29.0,12.0,16.0,53.0,16.0,128.0
DARS2,35.0,32.0,23.0,29.0,17.0,136.0
DBNDD2,13.0,18.0,23.0,12.0,46.0,120.0
DCBLD2,13.0,10.0,19.0,11.0,45.0,107.0
DCST2,24.0,14.0,27.0,25.0,46.0,142.0
DCTN4,15.0,26.0,31.0,37.0,17.0,124.0
DCUN1D4,28.0,15.0,21.0,43.0,35.0,148.0
DCXR,19.0,17.0,32.0,57.0,20.0,151.0
DDA1,35.0,27.0,22.0,31.0,27.0,148.0
DDAH2,23.0,12.0,15.0,39.0,34.0,133.0
DDC,23.0,15.0,21.0,19.0,33.0,113.0
DDHD2,52.0,14.0,22.0,24.0,19.0,145.0
DDIT4,19.0,16.0,19.0,28.0,58.0,147.0
DDRGK1,21.0,10.0,21.0,24.0,45.0,123.0
DDTL,37.0,12.0,16.0,21.0,13.0,110.0
DDX1,20.0,16.0,41.0,21.0,21.0,126.0
DDX39A,20.0,10.0,22.0,41.0,52.0,143.0
DDX41,27.0,43.0,22.0,15.0,21.0,136.0
DDX42,18.0,9.0,13.0,17.0,33.0,97.0
DDX49,18.0,9.0,23.0,23.0,50.0,131.0
DDX56,32.0,12.0,28.0,41.0,34.0,145.0
DDX60,19.0,13.0,42.0,21.0,13.0,108.0
DECR2,12.0,10.0,17.0,21.0,34.0,97.0
DEFB106B,56.0,30.0,14.0,31.0,19.0,151.0
DEGS1,37.0,17.0,23.0,11.0,12.0,104.0
DENND1B,22.0,14.0,43.0,26.0,22.0,126.0
DENND3,27.0,12.0,21.0,53.0,23.0,149.0
DENND5A,26.0,15.0,22.0,62.0,11.0,140.0
DENND5B,15.0,11.0,17.0,25.0,34.0,109.0
DENND6A,24.0,11.0,43.0,29.0,16.0,116.0
DGKH,11.0,16.0,22.0,62.0,21.0,135.0
DHDH,37.0,9.0,21.0,34.0,26.0,138.0
DHFR,22.0,13.0,40.0,15.0,20.0,112.0
DHRS4,16.0,14.0,38.0,16.0,34.0,126.0
DHX33,19.0,12.0,19.0,16.0,60.0,130.0
DHX34,23.0,11.0,38.0,15.0,19.0,115.0
DHX36,33.0,37.0,22.0,28.0,18.0,138.0
DIAPH3,18.0,34.0,15.0,20.0,27.0,120.0
DIDO1,17.0,14.0,18.0,18.0,32.0,96.0
DIO1,28.0,19.0,58.0,24.0,18.0,155.0
DIO2,51.0,24.0,22.0,22.0,18.0,137.0
DIP2B,33.0,44.0,27.0,31.0,19.0,161.0
DIRAS1,38.0,20.0,25.0,43.0,21.0,160.0
DISC1,25.0,14.0,26.0,57.0,17.0,158.0
DLEU7,23.0,27.0,27.0,44.0,20.0,150.0
DLG5,25.0,19.0,45.0,17.0,36.0,147.0
DLX5,18.0,13.0,18.0,53.0,36.0,146.0
DMRT1,32.0,24.0,21.0,47.0,27.0,156.0
DNAAF2,14.0,12.0,37.0,27.0,15.0,106.0
DNAAF5,12.0,20.0,20.0,57.0,17.0,133.0
DNAH11,17.0,15.0,18.0,68.0,15.0,159.0
DNAH6,20.0,18.0,20.0,65.0,16.0,141.0
DNAJB1,15.0,13.0,21.0,26.0,34.0,114.0
DNAJC10,14.0,12.0,19.0,64.0,14.0,126.0
DNAJC17,20.0,11.0,29.0,61.0,15.0,149.0
DNAJC21,19.0,18.0,50.0,43.0,20.0,166.0
DNAJC25-GNG10,21.0,8.0,17.0,60.0,22.0,139.0
DNASE1,27.0,24.0,28.0,53.0,23.0,160.0
DNER,12.0,11.0,39.0,18.0,19.0,112.0
DNHD1,23.0,13.0,17.0,53.0,24.0,136.0
DNM2,41.0,52.0,25.0,25.0,17.0,156.0
DOCK3,23.0,15.0,25.0,42.0,41.0,155.0
DOCK5,37.0,18.0,36.0,43.0,14.0,158.0
DOCK6,42.0,32.0,31.0,10.0,41.0,148.0
DOHH,17.0,14.0,32.0,14.0,51.0,126.0
DOK2,19.0,11.0,39.0,36.0,28.0,132.0
DOK3,15.0,10.0,37.0,35.0,37.0,136.0
DPAGT1,24.0,22.0,50.0,36.0,14.0,149.0
DPH7,17.0,11.0,16.0,9.0,34.0,107.0
DPM1,25.0,84.0,19.0,24.0,18.0,162.0
DPM3,13.0,11.0,14.0,16.0,32.0,86.0
DR1,32.0,28.0,27.0,27.0,19.0,138.0
DSCAML1,15.0,17.0,19.0,64.0,22.0,149.0
DTX3,35.0,15.0,19.0,59.0,23.0,161.0
DUS1L,14.0,12.0,11.0,17.0,32.0,87.0
DUSP13,29.0,30.0,34.0,39.0,13.0,164.0
DUSP28,33.0,23.0,58.0,24.0,15.0,158.0
DUSP3,47.0,15.0,26.0,43.0,16.0,150.0
DUSP5,12.0,10.0,42.0,22.0,21.0,114.0
DUXA,51.0,23.0,15.0,43.0,17.0,155.0
DYNC1LI2,29.0,17.0,23.0,55.0,21.0,165.0
DYNLRB1,23.0,41.0,55.0,24.0,15.0,162.0
DYRK2,42.0,13.0,32.0,24.0,25.0,130.0
E2F2,33.0,29.0,12.0,21.0,10.0,112.0
E2F3,14.0,14.0,19.0,29.0,34.0,114.0
E2F8,15.0,24.0,21.0,22.0,21.0,102.0
ECI2,11.0,10.0,17.0,20.0,43.0,108.0
EDAR,39.0,12.0,47.0,31.0,34.0,162.0
EDEM3,18.0,13.0,15.0,28.0,52.0,131.0
EDNRA,13.0,14.0,29.0,25.0,32.0,119.0
EEF1A1,40.0,28.0,29.0,31.0,19.0,146.0
EFCAB2,31.0,12.0,38.0,28.0,25.0,129.0
EFCAB5,18.0,12.0,20.0,68.0,12.0,140.0
EFCC1,26.0,14.0,58.0,32.0,24.0,155.0
EFNA4,50.0,23.0,26.0,33.0,15.0,147.0
EFNA5,12.0,12.0,12.0,27.0,34.0,110.0
EFR3B,21.0,15.0,19.0,54.0,11.0,124.0
EGFR,18.0,11.0,11.0,15.0,33.0,96.0
EGLN2,23.0,15.0,46.0,66.0,15.0,165.0
EGR1,28.0,11.0,37.0,24.0,19.0,122.0
EGR3,40.0,30.0,22.0,16.0,12.0,130.0
EGR4,39.0,17.0,18.0,14.0,30.0,128.0
EHMT2,14.0,15.0,23.0,64.0,27.0,146.0
EID2,34.0,13.0,26.0,56.0,21.0,157.0
EIF2AK1,21.0,11.0,22.0,33.0,47.0,143.0
EIF2B2,42.0,35.0,21.0,18.0,21.0,143.0
EIF2S1,29.0,11.0,44.0,31.0,32.0,149.0
EIF3D,22.0,24.0,20.0,45.0,45.0,152.0
EIF3F,35.0,56.0,35.0,17.0,28.0,164.0
EIF3H,24.0,12.0,17.0,22.0,38.0,119.0
EIF3K,24.0,17.0,49.0,39.0,19.0,158.0
EIF3M,26.0,30.0,15.0,10.0,17.0,107.0
EIF4A1,23.0,16.0,25.0,43.0,40.0,149.0
EIF4E3,25.0,15.0,39.0,16.0,18.0,119.0
EIF4H,17.0,11.0,18.0,36.0,49.0,134.0
EIF6,22.0,22.0,25.0,63.0,26.0,164.0
ELAC1,40.0,19.0,19.0,16.0,15.0,110.0
ELF3,22.0,20.0,24.0,56.0,18.0,141.0
ELK1,30.0,34.0,31.0,23.0,10.0,125.0
ELK3,32.0,24.0,29.0,38.0,16.0,150.0
ELL3,14.0,9.0,22.0,24.0,43.0,125.0
ELOF1,20.0,9.0,10.0,23.0,56.0,127.0
ELP3,40.0,11.0,24.0,29.0,10.0,115.0
EMB,29.0,20.0,40.0,40.0,15.0,147.0
EMG1,30.0,17.0,34.0,45.0,38.0,166.0
EMID1,22.0,17.0,37.0,31.0,22.0,130.0
EMILIN3,43.0,18.0,24.0,32.0,16.0,142.0
EML4,9.0,12.0,16.0,61.0,19.0,123.0
EML6,33.0,17.0,41.0,47.0,15.0,159.0
EMP2,24.0,11.0,44.0,30.0,45.0,163.0
ENG,24.0,24.0,17.0,16.0,13.0,105.0
ENKD1,26.0,20.0,19.0,62.0,14.0,153.0
ENTPD5,29.0,25.0,20.0,31.0,20.0,137.0
ENTPD6,14.0,12.0,29.0,16.0,66.0,137.0
ENTPD7,14.0,17.0,37.0,29.0,32.0,125.0
EOMES,28.0,18.0,31.0,34.0,34.0,156.0
EPC1,19.0,10.0,30.0,17.0,57.0,140.0
EPCAM,26.0,16.0,33.0,54.0,25.0,158.0
EPOR,29.0,15.0,17.0,36.0,46.0,150.0
EPS8L1,19.0,19.0,25.0,64.0,18.0,154.0
EPSTI1,28.0,18.0,19.0,21.0,49.0,140.0
ERCC3,38.0,19.0,23.0,54.0,32.0,165.0
ERI2,23.0,40.0,15.0,39.0,13.0,132.0
ERICH1,16.0,12.0,21.0,22.0,50.0,118.0
ERICH5,26.0,16.0,31.0,55.0,18.0,151.0
ERICH6B,22.0,13.0,24.0,77.0,21.0,163.0
ERP44,16.0,9.0,38.0,12.0,17.0,104.0
ESF1,12.0,9.0,30.0,64.0,12.0,142.0
ESR2,18.0,15.0,19.0,79.0,22.0,159.0
ESRP2,17.0,15.0,70.0,35.0,22.0,164.0
ESRRB,17.0,18.0,40.0,34.0,27.0,130.0
ETFB,22.0,15.0,57.0,16.0,19.0,133.0
ETS2,52.0,34.0,37.0,13.0,17.0,154.0
ETV4,40.0,15.0,26.0,30.0,17.0,134.0
EVA1C,13.0,13.0,38.0,25.0,27.0,122.0
EXO1,26.0,14.0,26.0,45.0,32.0,143.0
EXOC2,17.0,18.0,19.0,26.0,33.0,123.0
EXOSC2,14.0,20.0,24.0,71.0,13.0,157.0
EXT1,18.0,11.0,34.0,60.0,19.0,142.0
EXTL2,10.0,10.0,10.0,11.0,36.0,82.0
EXTL3,20.0,18.0,26.0,21.0,46.0,137.0
EZH2,42.0,18.0,23.0,23.0,21.0,137.0
F13B,38.0,28.0,17.0,29.0,18.0,137.0
F8A2,16.0,13.0,48.0,26.0,16.0,125.0
FA2H,30.0,31.0,14.0,11.0,17.0,101.0
FAH,35.0,20.0,37.0,42.0,33.0,159.0
FAM102B,18.0,25.0,25.0,22.0,18.0,111.0
FAM110B,29.0,25.0,22.0,46.0,12.0,137.0
FAM118A,32.0,14.0,17.0,29.0,32.0,130.0
FAM118B,11.0,25.0,14.0,12.0,15.0,84.0
FAM122A,27.0,25.0,32.0,29.0,37.0,160.0
FAM129A,40.0,14.0,15.0,27.0,22.0,125.0
FAM133A,21.0,21.0,23.0,61.0,20.0,155.0
FAM155B,20.0,9.0,53.0,21.0,22.0,123.0
FAM166B,18.0,13.0,42.0,26.0,20.0,117.0
FAM174B,25.0,15.0,41.0,25.0,19.0,134.0
FAM175A,24.0,11.0,22.0,19.0,32.0,117.0
FAM187A,36.0,25.0,17.0,36.0,26.0,145.0
FAM189B,23.0,15.0,25.0,8.0,36.0,113.0
FAM193B,24.0,24.0,19.0,31.0,13.0,121.0
FAM196A,25.0,20.0,28.0,56.0,19.0,160.0
FAM196B,11.0,14.0,16.0,14.0,65.0,132.0
FAM204A,27.0,16.0,28.0,45.0,34.0,158.0
FAM217B,29.0,27.0,21.0,21.0,24.0,130.0
FAM219A,21.0,28.0,13.0,17.0,16.0,109.0
FAM219B,25.0,20.0,37.0,35.0,24.0,148.0
FAM220A,20.0,11.0,26.0,61.0,30.0,161.0
FAM228B,13.0,11.0,36.0,21.0,33.0,122.0
FAM229A,9.0,12.0,18.0,15.0,36.0,94.0
FAM231BP,23.0,21.0,18.0,44.0,32.0,132.0
FAM25A,14.0,12.0,38.0,37.0,28.0,130.0
FAM25G,26.0,18.0,32.0,44.0,32.0,153.0
FAM3C,18.0,13.0,38.0,23.0,12.0,108.0
FAM71D,23.0,26.0,14.0,9.0,16.0,90.0
FAM71E1,33.0,29.0,29.0,31.0,16.0,147.0
FAM78B,26.0,15.0,12.0,29.0,32.0,116.0
FAM83B,22.0,30.0,29.0,42.0,17.0,145.0
FAM86B2,39.0,13.0,24.0,19.0,20.0,130.0
FAM89B,23.0,15.0,19.0,31.0,54.0,144.0
FANCF,13.0,8.0,16.0,13.0,34.0,90.0
FANCI,28.0,18.0,22.0,60.0,21.0,158.0
FARS2,22.0,9.0,18.0,43.0,41.0,144.0
FAS,41.0,47.0,21.0,24.0,23.0,155.0
FASTK,33.0,12.0,37.0,28.0,41.0,154.0
FASTKD2,25.0,25.0,18.0,12.0,14.0,91.0
FASTKD3,21.0,16.0,13.0,59.0,23.0,135.0
FASTKD5,24.0,11.0,38.0,36.0,17.0,133.0
FAT2,29.0,26.0,11.0,14.0,19.0,100.0
FAXDC2,24.0,12.0,18.0,61.0,22.0,154.0
FBLL1,15.0,13.0,18.0,19.0,37.0,110.0
FBLN5,33.0,21.0,37.0,35.0,25.0,159.0
FBLN7,18.0,12.0,30.0,21.0,50.0,140.0
FBN3,37.0,17.0,26.0,32.0,17.0,141.0
FBRSL1,29.0,17.0,30.0,24.0,32.0,153.0
FBXL14,42.0,26.0,26.0,38.0,22.0,156.0
FBXL8,51.0,42.0,18.0,19.0,17.0,152.0
FBXO10,14.0,16.0,18.0,19.0,38.0,113.0
FBXO11,49.0,13.0,26.0,16.0,19.0,127.0
FBXO17,24.0,14.0,29.0,32.0,33.0,139.0
FBXO21,23.0,14.0,23.0,53.0,20.0,144.0
FBXO22,18.0,11.0,55.0,58.0,22.0,165.0
FBXO34,12.0,9.0,16.0,11.0,38.0,90.0
FBXO4,23.0,16.0,21.0,32.0,37.0,143.0
FBXO41,22.0,18.0,55.0,35.0,22.0,155.0
FBXW10,41.0,13.0,29.0,42.0,14.0,149.0
FBXW9,31.0,29.0,15.0,13.0,18.0,108.0
FCF1,29.0,25.0,19.0,50.0,30.0,155.0
FCGR1B,40.0,25.0,28.0,32.0,28.0,145.0
FCGR2A,37.0,25.0,18.0,27.0,18.0,132.0
FCHSD1,20.0,9.0,41.0,36.0,51.0,154.0
FCHSD2,19.0,12.0,14.0,23.0,33.0,102.0
FCRLA,23.0,18.0,34.0,19.0,38.0,136.0
FECH,40.0,30.0,17.0,22.0,14.0,129.0
FEN1,18.0,16.0,24.0,57.0,23.0,149.0
FEZ1,54.0,15.0,19.0,27.0,20.0,137.0
FGFBP1,16.0,8.0,17.0,14.0,32.0,85.0
FIP1L1,30.0,28.0,34.0,37.0,13.0,141.0
FLAD1,42.0,15.0,13.0,20.0,19.0,112.0
FLCN,42.0,39.0,19.0,20.0,26.0,151.0
FLG,13.0,11.0,87.0,16.0,9.0,145.0
FLOT1,16.0,16.0,43.0,24.0,13.0,116.0
FLT3LG,23.0,21.0,19.0,30.0,42.0,124.0
FLYWCH2,43.0,24.0,24.0,13.0,22.0,135.0
FMNL2,26.0,14.0,53.0,19.0,32.0,139.0
FMNL3,18.0,15.0,15.0,20.0,48.0,118.0
FMOD,55.0,15.0,24.0,36.0,21.0,153.0
FOLR3,28.0,18.0,16.0,61.0,12.0,141.0
FOXA2,16.0,12.0,47.0,30.0,18.0,137.0
FOXD3,38.0,14.0,36.0,35.0,18.0,141.0
FOXE1,24.0,14.0,19.0,60.0,19.0,140.0
FOXH1,31.0,10.0,33.0,22.0,33.0,139.0
FOXN4,28.0,15.0,27.0,14.0,36.0,129.0
FOXRED1,20.0,10.0,13.0,59.0,10.0,117.0
FREM1,17.0,14.0,17.0,56.0,13.0,124.0
FRG2,18.0,11.0,24.0,41.0,55.0,163.0
FRG2B,27.0,14.0,17.0,74.0,12.0,156.0
FRRS1,22.0,16.0,16.0,31.0,33.0,128.0
FRS3,47.0,42.0,23.0,26.0,29.0,164.0
FSD1,22.0,14.0,28.0,29.0,34.0,133.0
FTH1,37.0,15.0,23.0,40.0,22.0,145.0
FUBP1,14.0,20.0,30.0,24.0,38.0,135.0
FUT8,14.0,11.0,41.0,11.0,19.0,95.0
FXN,26.0,17.0,19.0,20.0,38.0,126.0
FXR2,36.0,27.0,27.0,20.0,12.0,123.0
FXYD3,20.0,9.0,19.0,32.0,35.0,118.0
FXYD5,30.0,19.0,38.0,31.0,25.0,157.0
FZD5,34.0,24.0,26.0,44.0,13.0,151.0
FZR1,25.0,13.0,19.0,77.0,25.0,164.0
G6PC3,18.0,9.0,29.0,21.0,37.0,127.0
GABARAP,50.0,38.0,15.0,16.0,17.0,134.0
GABPB1,32.0,32.0,32.0,32.0,20.0,148.0
GABPB2,23.0,16.0,16.0,43.0,43.0,149.0
GABRB3,23.0,23.0,28.0,20.0,41.0,150.0
GADD45A,18.0,8.0,19.0,59.0,18.0,126.0
GADD45GIP1,18.0,15.0,14.0,18.0,48.0,118.0
GAGE1,34.0,34.0,23.0,34.0,26.0,153.0
GAL,22.0,16.0,48.0,46.0,19.0,151.0
GALE,26.0,29.0,24.0,36.0,15.0,144.0
GALNT1,31.0,14.0,15.0,57.0,17.0,146.0
GALNT15,21.0,11.0,16.0,21.0,36.0,109.0
GALNT16,28.0,17.0,27.0,71.0,15.0,162.0
GALNT6,32.0,30.0,26.0,24.0,10.0,123.0
GALNTL6,19.0,24.0,19.0,24.0,26.0,115.0
GAPDH,22.0,33.0,24.0,27.0,12.0,123.0
GAR1,23.0,16.0,40.0,21.0,35.0,135.0
GAREML,15.0,15.0,18.0,72.0,31.0,162.0
GATA3,31.0,20.0,22.0,28.0,47.0,156.0
GATD3B,19.0,8.0,18.0,14.0,53.0,115.0
GBGT1,31.0,33.0,18.0,17.0,16.0,121.0
GCN1,17.0,16.0,23.0,66.0,12.0,140.0
GDF5OS,37.0,26.0,17.0,15.0,14.0,117.0
GDF6,48.0,21.0,14.0,13.0,14.0,110.0
GEMIN2,10.0,11.0,23.0,69.0,14.0,133.0
GEMIN4,23.0,11.0,16.0,67.0,29.0,148.0
GEMIN7,23.0,9.0,17.0,31.0,34.0,120.0
GGA1,24.0,13.0,42.0,24.0,25.0,137.0
