Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_ConA,Cells_Granularity_2_ConA,Cells_Granularity_3_ConA,Cells_Granularity_4_ConA,Cells_Granularity_5_ConA,Cells_Granularity_7_ConA,Cells_Granularity_6_ConA,Cells_Granularity_8_ConA,Path
AGA,0.38889625000000005,-0.0684975,-0.18740874999999999,-0.20861874999999996,-0.341279125,-0.4431675,-0.510823875,-0.44596874999999997,Nglycan_Lyso
ALG1,0.14573999999999998,-0.4713385,-0.324421625,0.033085250000000004,-0.14276875,-0.300380625,0.16355875,-0.474676875,Nglycan_Cyto
ALG10,0.43983174999999997,-0.101073625,-0.2452965,-0.19934775,-0.236705875,-0.3009265,-0.16410249999999998,-0.33053875,Nglycan_ER
ALG10B,0.24110000000000004,-0.029990000000000017,-0.213265,-0.16844925,-0.23534075000000002,-0.366021425,-0.2805785,-0.587985,Nglycan_ER
ALG11,0.5117225,-0.28644425,-0.2526945,-0.8665175,-0.2810275,-0.27520275000000005,-0.6173,-0.5277725,Nglycan_Cyto
ALG12,0.3971535,-0.65924,-0.36176375,-0.3178125,-0.7214674999999999,-0.33043125,-0.334349375,-0.55542375,Nglycan_ER
ALG13,-0.08405424999999998,0.18544475,0.14867,0.09014400000000002,-0.2939975,0.181059175,-0.18912500000000002,0.027263750000000003,Nglycan_Cyto
ALG14,0.11141413749999997,0.020773499999999973,-0.18599555,-0.135888875,-0.029529374999999997,-0.19423,-0.33927462499999994,-0.445982,Nglycan_Cyto
ALG2,0.2101125,-0.141628,-0.09459000000000001,-0.19487325,-0.219635,-0.18601000000000004,-0.23370774999999996,-0.297135,Nglycan_Cyto
ALG3,0.4817,0.009086750000000005,-0.07708325,-0.386442575,-0.427635,-0.72695,-0.26843775,-0.63881,Nglycan_ER
ALG5,0.45702374999999995,0.0213575,-0.34931075,-0.020065,0.14351075,-0.40810250000000003,-0.276693175,-0.57542,Nglycan_Cyto
ALG6,-0.08606749999999999,0.184878,0.03301475000000001,0.09860574999999999,0.09947225000000001,-0.17702500000000002,-0.2795175,-0.52149,Nglycan_ER
ALG8,0.08913424999999997,-0.04107625000000001,-0.09905775,-0.34886625,-0.22061675,-0.64037,-0.19574225,-0.39409125,Nglycan_ER
ALG9,0.37934500000000004,-0.294365,-0.178715,-0.36709749999999997,-0.5233475,-0.319465,-0.6005,-0.5709075,Nglycan_ER
B4GALT1,0.20165850000000002,-0.16278125,-0.08500075,-0.081607,0.00893862500000001,-0.38986099999999996,-0.012576249999999983,-0.43497125000000003,Nglycan_Golgi
B4GALT2,-0.24425249999999998,0.08396750000000003,0.33486525,0.1598705,-0.06988125,0.09856875,-0.030112387500000004,-0.057573750000000035,Nglycan_Golgi
B4GALT3,0.06857425,-0.18430000000000002,0.008615000000000012,-0.202015,-0.24778275,-0.2881075,-0.45894499999999994,-0.39609225000000003,Nglycan_Golgi
B4GALT5,-0.013152500000000011,-0.081258,-0.10703125,-0.0074174999999999935,-0.041777499999999995,0.0609825,-0.052952250000000006,-0.231985,Nglycan_Golgi
CTSA,-0.205915,-0.1374175,0.3106715,0.18024425,-0.12670499999999998,-0.2548595,-0.06938749999999999,-0.197987,Nglycan_Lyso
DAD1,0.698273,-0.44362,-0.6466175000000001,-0.23992750000000002,-0.49253525,-0.5423450000000001,-0.006354999999999986,-0.5795725,Nglycan_ER
DDOST,0.481655,-0.1791895,-0.1430535,-0.322035,-0.53405075,-0.4254875,-0.6154575,-0.32505,Nglycan_ER
DHDDS,0.92292,-0.38994375000000003,-0.57711625,-0.370644,-0.476486,-0.43665,-0.423735,-0.43483,Nglycan_Cyto
DOLK,-0.07988249999999998,-0.06475749999999998,-0.10932957500000001,-0.21215499999999998,-0.3393625,-0.29811025,-0.126494,-0.2580175,Nglycan_Cyto
DOLPP1,0.373445,-0.172409125,-0.252922125,-0.06338012500000002,-0.18189300000000003,-0.16031,-0.293935125,-0.504105,Nglycan_Cyto
DPAGT1,0.24878,-0.2574415,-0.3791725,-0.35493465,-0.3751975,-0.38777249999999996,-0.5318375,-0.465168,Nglycan_Cyto
DPM1,0.4360625,-0.39993575000000003,-0.5138535,-0.48275,-0.2732325,-0.435163,-0.6547842500000001,-0.4977325,GPI
DPM2,0.7132075,-0.024419499999999997,-0.279915,-0.45418000000000003,-0.6552125,-0.632305,-0.68504,-0.592965,GPI
DPM3,-0.350334875,-0.03302200000000001,-0.23611375000000004,0.17815124999999998,0.04786375,0.05872875000000001,-0.066573425,-0.27094162499999996,GPI
ENGASE,0.130988,-0.18726675,-0.4198425,-0.20846325,-0.33885750000000003,-0.1769525,-0.400415,-0.1664875,Nglycan_Cyto
FDPS,0.24372850000000001,-0.0864705,0.08201425000000001,-0.27028,-0.29180249999999996,-0.0636925,-0.047812999999999994,-0.30116,Nglycan_Cyto
FUCA1,0.466435,0.20122325000000002,0.006586999999999968,-0.05283599999999998,-0.0755755,-0.40934499999999996,-0.43944675,-0.43665675,Nglycan_Lyso
FUCA2,0.25270925,-0.071467725,-0.04487874999999999,-0.080402,-0.1032305,-0.41577849999999994,-0.32008749999999997,-0.5994700000000001,Nglycan_Lyso
FUT8,-0.2679035,0.1266675,0.30753500000000006,0.331211025,0.01955075,-0.31195525,-0.07548874999999998,-0.4138175,Nglycan_Golgi
GALNS,0.173936,-0.12421975,0.07676125,0.05611750000000001,-0.03456374999999999,-0.4308075,-0.20181675,-0.4262175,Nglycan_Lyso
GANAB,-0.2182825,-0.28782367499999995,-0.21867324999999999,0.15663875,0.07348999999999999,-0.005183749999999987,-0.40893875,-0.34600375,Nglycan_ER
GGPS1,-0.15323675,-0.13593100000000002,-0.19176625000000003,-0.12514524999999999,-0.014169250000000001,-0.10226800000000003,0.05411199999999999,-0.15965249999999997,Nglycan_Cyto
GLB1,0.007285000000000014,-0.20886749999999998,0.0674185,-0.20105475,-0.043206749999999995,-0.20210925,-0.0031587499999999984,-0.298644,Nglycan_Lyso
GPAA1,-0.015239999999999955,-0.174817625,0.05325249999999998,0.02463449999999999,-0.07233875000000002,-0.44374375,0.12498800000000002,0.07155375000000004,GPI
HEXA,-0.079733475,0.0849165,0.15984265,0.25314000000000003,-0.5906199999999999,-0.09235650000000001,-0.06343300000000002,-0.2272,Nglycan_Lyso
HEXB,-0.0873285,-0.1118575,-0.12202275,0.09992249999999998,0.05044400000000002,-0.3165125,-0.2186555,-0.285729825,Nglycan_Lyso
HEXDC,0.26839,-0.29997650000000003,-0.2247575,-0.36727,-0.32257250000000004,-0.23947425,-0.16929,-0.3804575,Nglycan_Lyso
MAN1A1,-0.03410249999999998,0.173973,0.19408399999999998,-0.06606975000000001,-0.33738,-0.17819249999999998,0.015252500000000002,-0.325625,Nglycan_ER
MAN1A2,-0.20451324999999998,-0.06361325,-0.18772499999999998,-0.18572275,-0.019904494999999994,-0.15485275,-0.08636625,-0.09333074999999999,Nglycan_ER
MAN1B1,-0.26398675,0.18538975,0.024845500000000006,-0.33627275,-0.10259925,0.06792099999999998,0.17124775,-0.2562875,Nglycan_ER
MAN1C1,0.03621912499999999,0.042791249999999975,0.05837175000000001,0.22762824999999998,-0.19549370000000002,-0.30853074999999996,-0.380512125,-0.32412375,Nglycan_ER
MAN2A1,-0.041918000000000004,0.200435,0.012664000000000009,0.06375099999999999,-0.196572,-0.27673625,-0.25480674999999997,-0.26235625,Nglycan_Golgi
MAN2A2,-0.21608900000000003,0.212508875,-0.1281499625,0.214646,0.089543,0.06423124999999998,0.166605,-0.37607375,Nglycan_Golgi
MAN2B1,-0.10671749999999999,-0.058682700000000004,-0.2235465,-0.057466249999999997,0.11764024999999999,-0.364087,-0.228795,-0.334684,Nglycan_Lyso
MAN2B2,-0.24867999999999998,0.1405875,0.15522260000000002,-0.004763500000000004,0.0055312499999999876,0.156907,-0.29825572749999996,-0.18117175000000002,Nglycan_Lyso
MAN2C1,-0.0635425,-0.26447625,-0.1209305,0.11424825,0.038521,-0.1944075,-0.037215,-0.308071,Nglycan_Cyto
MANBA,0.12668922500000002,-0.00721055000000001,-0.2516625,-0.15028125,-0.086719,-0.3562735,-0.34669625000000004,-0.2232825,Nglycan_Lyso
MGAT1,-0.12199750000000001,-0.040712499999999985,-0.2081925,0.12328750000000002,0.054867,0.179311,-0.1305625,-0.011459999999999984,Nglycan_Golgi
MGAT2,-0.09099921,-0.067270325,-0.10132224999999999,-0.264934,-0.29727499999999996,-0.2966,-0.11074775,-0.141895,Nglycan_Golgi
MGAT3,-0.266405,0.130447125,0.061462499999999975,0.29802855,-0.232942,-0.029270500000000005,-0.14203387499999998,-0.25088,Nglycan_Golgi
MGAT4A,-0.10402549999999999,0.2075785,-0.09137124999999999,0.17302137499999998,-0.16538975,-0.4007,0.015977500000000013,-0.6007625,Nglycan_Golgi
MGAT4B,0.10375500000000001,-0.26315425,-0.16808225,-0.18436225,0.05603750000000001,-0.087585,0.1156045,-0.32694999999999996,Nglycan_Golgi
MGAT4C,0.07409575,-0.021154250000000006,0.2319825,0.019352624999999984,-0.19927250000000002,-0.1587565,-0.2304,-0.17380600000000002,Nglycan_Golgi
MGAT5,-0.46695375000000006,-0.09372550000000002,-0.13295375,0.40490250000000005,0.3935,0.22197325000000004,0.26938375000000003,0.338769,Nglycan_Golgi
MOGS,-0.03750500000000001,-0.1254406,0.1781875,0.2246725,-0.09930200000000002,-0.27414775,-0.357849,-0.1182925,Nglycan_ER
MPDU1,-0.06814125000000004,-0.04591962499999999,0.1738518,0.51206,-0.25891125,0.09278025000000001,-0.15914125,-0.40077075,GPI
NEU1,0.12770000000000004,-0.00309124999999999,0.04541,0.053137500000000004,-0.11532837499999998,-0.13660425,-0.42069500000000004,-0.330563,Nglycan_Lyso
NEU2,0.57299125,-0.17398355,-0.16909725,-0.4468795,-0.31973675,-0.28969,-0.28308,-0.503035,Nglycan_Cyto
NEU3,0.40291750000000004,0.21938924999999998,0.16739625000000002,0.008124999999999993,-0.4177185,-0.33840000000000003,-0.33638875,-0.411635,Nglycan_Lyso
NEU4,0.01682800000000001,0.1022045,0.10782989999999999,-0.136982475,-0.2345125,-0.361913675,-0.240291,-0.549665,Nglycan_Cyto
PIGA,0.1520725,0.15987,0.07624475000000001,-0.2544225,-0.2071275,-0.46659249999999997,-0.350625,-0.2284125,GPI
PIGB,0.269319,0.09983750000000001,-0.2014405,-0.198768,-0.059623249999999996,-0.7049924999999999,-0.17504424999999998,-0.5327675000000001,GPI
PIGC,0.05746250000000003,-0.29316804999999996,0.12450000000000001,0.045705,-0.25286000000000003,-0.2873105,0.088264,-0.5595125000000001,GPI
PIGF,0.29481545,-0.22553,-0.26557225,-0.004623999999999989,0.33103575,-0.48269999999999996,-0.24239499999999997,-0.0210775,GPI
PIGH,-0.28203,-0.279477875,0.088169475,-0.026127,-0.20626424999999998,-0.047192250000000005,-0.18683524999999998,0.30027024999999996,GPI
PIGK,-0.19644899999999998,0.052779999999999994,-0.41228750000000003,-0.0810475,-0.111749,-0.14441874999999998,0.076487325,-0.331515,GPI
PIGL,-0.533815,0.016080249999999997,0.26252749999999997,0.11029249999999999,0.051710000000000006,-0.477985,-0.32379875,-0.47139375,GPI
PIGM,0.218863125,-0.09576312499999998,-0.04754000000000003,-0.315415,-0.37703375,-0.27007075,0.02777375000000004,-0.098919,GPI
PIGN,0.03614250000000002,-0.23186,-0.16072925,-0.238615,-0.3088325,-0.253115,-0.014572499999999988,-0.34775999999999996,GPI
PIGO,0.5472525,-0.2611825,-0.36496275,-0.3827475,-0.23166575,-0.2891625,-0.09909000000000001,-0.42125,GPI
PIGP,0.34477225,0.13781875000000002,-0.20609374999999996,-0.2066625,-0.30046425,-0.28835875,0.0939285,-0.5936049999999999,GPI
PIGQ,0.317083,-0.171591,-0.15475,-0.4879375,-0.44804,-0.309715,-0.23686400000000002,-0.33437,GPI
PIGS,0.42968625,-0.40451275000000003,-0.22620425,-0.28637825,-0.2025675,0.04443074999999998,-0.06776574999999999,0.006231374999999997,GPI
PIGT,0.1943125,0.088815,0.21764,-0.2526645,0.10382074999999999,-0.2537425,-0.09970375,-0.5038475,GPI
PIGU,0.3451275,-0.26909425000000003,-0.22747500000000004,-0.17292875000000002,-0.2336225,0.03859000000000001,0.026687000000000002,-0.23867175,GPI
PIGV,0.30513999999999997,0.05113749999999999,-0.28256749999999997,-0.31422249999999996,-0.13312775000000002,-0.32636750000000003,-0.20537225,-0.34821325,GPI
PIGW,-0.004430750000000004,-0.13327250000000002,0.12239699999999999,-0.12018725,-0.37344,-0.09628149999999999,-0.25521425,-0.035342250000000006,GPI
PIGX,-0.1273425,0.009242750000000015,-0.08657000000000001,-0.20877025,-0.31882,-0.3019925,-0.09086450000000001,-0.4983675,GPI
PIGY,0.059961875,-0.007022499999999987,0.09473475,0.07006875000000001,-0.011677500000000007,-0.20759975000000003,0.07024875,-0.335163875,GPI
RPN1,-0.3462175,0.046714749999999985,0.41026999999999997,-0.17057614999999998,-0.5733024999999999,-0.4555945,-0.5189575,-0.29079975,Nglycan_ER
RPN2,0.30002875,-0.2338325,-0.260685,0.08509025,0.0772525,-0.347028,-0.26285962500000004,-0.28135125,Nglycan_ER
ST6GAL1,0.09642075,-0.12175025,0.008929250000000034,-0.19522375,0.173730625,-0.09176845,-0.0494175,-0.2079225,Nglycan_Golgi
ST6GAL2,0.084066625,-0.38858,-0.21567725,-0.148935625,-0.2598197625,-0.1677050125,-0.196560125,-0.042759875,Nglycan_Golgi
STT3A,-0.21297500000000003,0.163393375,0.020653749999999985,-0.266665,-0.3063785,-0.00019874999999999754,-0.214915,-0.08296250000000001,Nglycan_ER
STT3B,0.3596025,0.04438175,-0.024849499999999997,0.067351575,-0.31472,0.1515945,0.175802,-0.47362000000000004,Nglycan_ER
TUSC3,0.012252999999999986,-0.11419324999999998,0.049126500000000003,0.11154025,-0.09619285000000001,-0.4840375,-0.0577513,-0.39359575,Nglycan_ER
nontargeting,0.05960943033039648,0.13790310140969164,0.05166248914096916,-0.1267570139647577,-0.13764418907488987,-0.4562737775330396,-0.2496843997136564,-0.5506595330396475,
